STOCK Report - 2026-06-01 to 2026-06-01
Generated: 30-06-2026 18:30:05

Product,Company,Packing,HSN,Batch,Expiry,MRP,Purchase Rate,Stock,Free Stock,Total Stock,Rate A,Rate B,Rate C,Status
"1ST AID TRANSPORE TAPE .5""""",CIPLA,PCS,3004,1234,12-2012,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,expired
"1ST AID TRANSPORE TAPE .5""""",CIPLA,PCS,3004,11424,12-2034,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,valid
"1ST AID TRANSPORE TAPE .5""""",CIPLA,PCS,3004,123,12-2034,10.0,2.0,50.0,0.0,0.0,6.0,8.0,10.0,valid
"1ST AID TRANSPORE TAPE .5""""",CIPLA,PCS,3004,1232,12-2034,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,valid
"1ST AID TRANSPORE TAPE .5""""",CIPLA,PCS,3004,2324242,12-2034,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,valid
ABHRAK BHASMA 1000PUDI 1GM,ZZZZZZ 677,PCS,3004,12,12-2029,20.0,12.0,20.0,0.0,0.0,14.0,17.0,20.0,valid
ABIXIM O TAB 10 TAB,ABBOT,PCS,3004,123443,12-2034,3.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,valid
ASITUSS-A SYP 100ML,ASTEVIS PHARMA,PCS,3004,123,12-2034,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,valid
AZAUK 200 SUSP 15 ML,AAMORB PHARMACEUTICALS PVT LTD,PCS,3004,1223,12-2020,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,expired

Total Records: 9,Total Amount: ₹0.00
